,ID_VICTIMA,ID_HECHO,ROL,SEXO,EDAD,RANGO_ETAREO,FECHA,HORA,TIPO_DE_CALLE,CALLE,CRUCE,COMUNA,LONGITUD,LATITUD,VICTIMA,ACUSADO
440,2019-0006-441,2019-0006,PEATON,FEMENINO,12,<18,2019-01-23,5,AVENIDA,"OBLIGADO RAFAEL, AV.COSTANERA",,14,-58.41652702,-34.55509606,PEATON,AUTO
441,2019-0007-442,2019-0007,CONDUCTOR,MASCULINO,35,34_49,2019-01-26,19,CALLE,"MITRE, BARTOLOME",YATAY,5,-58.42891604,-34.61071660,MOTO,AUTO
442,2019-0008-443,2019-0008,CONDUCTOR,MASCULINO,42,34_49,2019-01-30,22,GRAL PAZ,"PAZ, GRAL. AV.",,8,-58.47802293,-34.69156793,MOTO,MULTIPLE
443,2019-0009-444,2019-0009,CONDUCTOR,MASCULINO,34,34_49,2019-01-31,14,AVENIDA,CHACABUCO,SAN JUAN AV.,1,-58.37564821,-34.62200207,MOTO,AUTO
444,2019-0010-445,2019-0010,PEATON,MASCULINO,SD,SD,2019-02-02,7,AVENIDA,DEL LIBERTADOR AV.,,14,-58.42668489,-34.56961468,PEATON,AUTO
445,2019-0010-446,2019-0010,PEATON,MASCULINO,59,50_65,2019-02-02,7,AVENIDA,DEL LIBERTADOR AV.,,14,-58.42668489,-34.56961468,PEATON,AUTO
446,2019-0011-447,2019-0011,PEATON,MASCULINO,SD,SD,2019-02-10,1,GRAL PAZ,"PAZ, GRAL. AV.","ALBERDI, JUAN BAUTISTA AV.",9,-58.51839930,-34.66252488,PEATON,AUTO
447,2019-0012-448,2019-0012,CONDUCTOR,MASCULINO,31,18_33,2019-02-17,3,AVENIDA,"CASTAÑARES, AV.","GORDILLO, TIMOTEO",8,-58.48432691,-34.67665828,MOTO,AUTO
448,2019-0013-449,2019-0013,PEATON,MASCULINO,39,34_49,2019-02-20,7,CALLE,SALVIGNY,MOM,7,-58.43383830,-34.64457699,PEATON,AUTO
449,2019-0014-450,2019-0014,CONDUCTOR,MASCULINO,69,>65,2019-02-20,17,CALLE,"LAMARCA, EMILIO",,11,-58.51664939,-34.58657938,MOTO,OBJETO FIJO
